danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0.654,0.871,2,-6.094,0,0.0543,0.574,0,0.0902,0.747,136.012,audio_features,0LJf8BKxv3FfsLDxPmcpYP,spotify:track:0LJf8BKxv3FfsLDxPmcpYP,https://api.spotify.com/v1/tracks/0LJf8BKxv3FfsLDxPmcpYP,https://api.spotify.com/v1/audio-analysis/0LJf8BKxv3FfsLDxPmcpYP,285093,4,星空のSpica,
0.373,0.881,2,-5.722,0,0.0483,0.00459,0,0.423,0.702,186.751,audio_features,0B6veGzy6V963S3if0GSRu,spotify:track:0B6veGzy6V963S3if0GSRu,https://api.spotify.com/v1/tracks/0B6veGzy6V963S3if0GSRu,https://api.spotify.com/v1/audio-analysis/0B6veGzy6V963S3if0GSRu,225907,4,Endless Story,
0.628,0.891,5,-3.777,1,0.0301,0.0626,1.09e-05,0.222,0.926,149.019,audio_features,76WQSQb3IUpm0Q4YiWRAG6,spotify:track:76WQSQb3IUpm0Q4YiWRAG6,https://api.spotify.com/v1/tracks/76WQSQb3IUpm0Q4YiWRAG6,https://api.spotify.com/v1/audio-analysis/76WQSQb3IUpm0Q4YiWRAG6,225800,4,PINK AQUARIUM,
0.697,0.545,2,-9.475,1,0.0546,0.193,0.00172,0.198,0.412,130.003,audio_features,10BvwtVszNg7d4tqVqW7HA,spotify:track:10BvwtVszNg7d4tqVqW7HA,https://api.spotify.com/v1/tracks/10BvwtVszNg7d4tqVqW7HA,https://api.spotify.com/v1/audio-analysis/10BvwtVszNg7d4tqVqW7HA,256160,4,in the Oak wood,
0.645,0.856,2,-5.676,1,0.071,0.273,3.39e-05,0.0499,0.92,100.013,audio_features,0jyLEj1903pD7zyLHiBMp3,spotify:track:0jyLEj1903pD7zyLHiBMp3,https://api.spotify.com/v1/tracks/0jyLEj1903pD7zyLHiBMp3,https://api.spotify.com/v1/audio-analysis/0jyLEj1903pD7zyLHiBMp3,233867,4,Non-Stopping Train,
0.601,0.848,2,-5.805,1,0.0256,0.003,0,0.207,0.653,139.914,audio_features,5JhQo4R6sv6EIhBH1FwLlB,spotify:track:5JhQo4R6sv6EIhBH1FwLlB,https://api.spotify.com/v1/tracks/5JhQo4R6sv6EIhBH1FwLlB,https://api.spotify.com/v1/audio-analysis/5JhQo4R6sv6EIhBH1FwLlB,288067,4,空の向こう側に,
0.706,0.874,2,-4.95,1,0.0338,0.0339,0.000291,0.107,0.593,118.027,audio_features,5ne271VkFa5hRCr7rDNH8b,spotify:track:5ne271VkFa5hRCr7rDNH8b,https://api.spotify.com/v1/tracks/5ne271VkFa5hRCr7rDNH8b,https://api.spotify.com/v1/audio-analysis/5ne271VkFa5hRCr7rDNH8b,275667,4,LUNATICA MARE,
0.747,0.678,4,-6.665,1,0.0263,0.0817,0.00048,0.145,0.857,118.953,audio_features,1RiJxYoCyxtb4ycGo8G9Yo,spotify:track:1RiJxYoCyxtb4ycGo8G9Yo,https://api.spotify.com/v1/tracks/1RiJxYoCyxtb4ycGo8G9Yo,https://api.spotify.com/v1/audio-analysis/1RiJxYoCyxtb4ycGo8G9Yo,293827,4,恋歌姫,
0.461,0.918,8,-2.713,1,0.0453,0.00387,0,0.395,0.58,91.493,audio_features,21YyyBmcsMvocTy8mMiuWa,spotify:track:21YyyBmcsMvocTy8mMiuWa,https://api.spotify.com/v1/tracks/21YyyBmcsMvocTy8mMiuWa,https://api.spotify.com/v1/audio-analysis/21YyyBmcsMvocTy8mMiuWa,279267,4,W:Wonder tale,
0.589,0.504,6,-9.034,1,0.0287,0.0662,0,0.114,0.368,95.011,audio_features,2ZnoSjbKGMDlSviiaJGMMv,spotify:track:2ZnoSjbKGMDlSviiaJGMMv,https://api.spotify.com/v1/tracks/2ZnoSjbKGMDlSviiaJGMMv,https://api.spotify.com/v1/audio-analysis/2ZnoSjbKGMDlSviiaJGMMv,253427,4,Cursed Lily,
0.45,0.889,9,-3.102,1,0.0862,0.00717,0.181,0.188,0.756,174.002,audio_features,1Kz8G6jcAzwX5GrQSFMY0Y,spotify:track:1Kz8G6jcAzwX5GrQSFMY0Y,https://api.spotify.com/v1/tracks/1Kz8G6jcAzwX5GrQSFMY0Y,https://api.spotify.com/v1/audio-analysis/1Kz8G6jcAzwX5GrQSFMY0Y,207987,4,スパークリング☆トラベラー,
0.348,0.328,5,-10.475,1,0.0341,0.675,6.25e-06,0.087,0.329,79.97,audio_features,4II7S7pTGrnnAs6xh9mTYO,spotify:track:4II7S7pTGrnnAs6xh9mTYO,https://api.spotify.com/v1/tracks/4II7S7pTGrnnAs6xh9mTYO,https://api.spotify.com/v1/audio-analysis/4II7S7pTGrnnAs6xh9mTYO,215240,4,YOURS EVER,
0.683,0.857,1,-3.583,1,0.0276,0.000886,0.0019,0.0745,0.576,109.978,audio_features,6BRaEETPML5JuSCBj8wGKA,spotify:track:6BRaEETPML5JuSCBj8wGKA,https://api.spotify.com/v1/tracks/6BRaEETPML5JuSCBj8wGKA,https://api.spotify.com/v1/audio-analysis/6BRaEETPML5JuSCBj8wGKA,226480,4,Passion Error,
0.297,0.142,0,-15.215,1,0.0325,0.993,0.00063,0.145,0.184,90.498,audio_features,61Tnkfdhbgo9rFm0ncvQeD,spotify:track:61Tnkfdhbgo9rFm0ncvQeD,https://api.spotify.com/v1/tracks/61Tnkfdhbgo9rFm0ncvQeD,https://api.spotify.com/v1/audio-analysis/61Tnkfdhbgo9rFm0ncvQeD,71707,3,Interlude 〜aria〜,
0.532,0.938,9,-4.058,0,0.0456,0.0662,1.45e-05,0.331,0.459,162.908,audio_features,6tlAuaRoiqZlBxXilTO6jR,spotify:track:6tlAuaRoiqZlBxXilTO6jR,https://api.spotify.com/v1/tracks/6tlAuaRoiqZlBxXilTO6jR,https://api.spotify.com/v1/audio-analysis/6tlAuaRoiqZlBxXilTO6jR,208507,4,恋のタイムマシン,
0.5,0.941,6,-3.239,1,0.0513,0.0564,0,0.213,0.84,169.934,audio_features,58jAyDEAMK8Zhll4aGFhgL,spotify:track:58jAyDEAMK8Zhll4aGFhgL,https://api.spotify.com/v1/tracks/58jAyDEAMK8Zhll4aGFhgL,https://api.spotify.com/v1/audio-analysis/58jAyDEAMK8Zhll4aGFhgL,244147,3,おしえてA to Z,
0.731,0.553,8,-10.014,1,0.0276,0.398,0.000148,0.0809,0.747,165.739,audio_features,4ZpPR2XnRyGamHq7W3ip7C,spotify:track:4ZpPR2XnRyGamHq7W3ip7C,https://api.spotify.com/v1/tracks/4ZpPR2XnRyGamHq7W3ip7C,https://api.spotify.com/v1/audio-analysis/4ZpPR2XnRyGamHq7W3ip7C,341093,4,つぼみのままで,
0.715,0.875,8,-5.226,1,0.0329,0.148,4.98e-06,0.111,0.908,106.989,audio_features,4ZOuBqwEILkfqVetntxsD6,spotify:track:4ZOuBqwEILkfqVetntxsD6,https://api.spotify.com/v1/tracks/4ZOuBqwEILkfqVetntxsD6,https://api.spotify.com/v1/audio-analysis/4ZOuBqwEILkfqVetntxsD6,296880,4,神様Rescue Me!!,
0.64,0.852,1,-5.0,1,0.0236,0.129,0,0.319,0.901,108.028,audio_features,1OAh84VVxUuMQBk9brbRw7,spotify:track:1OAh84VVxUuMQBk9brbRw7,https://api.spotify.com/v1/tracks/1OAh84VVxUuMQBk9brbRw7,https://api.spotify.com/v1/audio-analysis/1OAh84VVxUuMQBk9brbRw7,291387,4,まだ好きでいさせて,
0.731,0.751,1,-7.934,1,0.0259,0.118,4.53e-06,0.0888,0.935,130.057,audio_features,7jWulaZRoXkKqfyGwCusMg,spotify:track:7jWulaZRoXkKqfyGwCusMg,https://api.spotify.com/v1/tracks/7jWulaZRoXkKqfyGwCusMg,https://api.spotify.com/v1/audio-analysis/7jWulaZRoXkKqfyGwCusMg,245867,4,Melody,
0.556,0.829,6,-5.408,1,0.0679,0.134,0,0.421,0.875,169.989,audio_features,1lEDbcMIAPnT2HYjxpDy3t,spotify:track:1lEDbcMIAPnT2HYjxpDy3t,https://api.spotify.com/v1/tracks/1lEDbcMIAPnT2HYjxpDy3t,https://api.spotify.com/v1/audio-analysis/1lEDbcMIAPnT2HYjxpDy3t,235293,4,童話迷宮,
0.499,0.709,6,-5.863,1,0.056,0.0335,0,0.313,0.714,175.947,audio_features,6eOJBmoObjznVNhX881eFb,spotify:track:6eOJBmoObjznVNhX881eFb,https://api.spotify.com/v1/tracks/6eOJBmoObjznVNhX881eFb,https://api.spotify.com/v1/audio-analysis/6eOJBmoObjznVNhX881eFb,271760,4,Beautiful Amulet,
0.538,0.992,5,-1.879,1,0.175,0.0334,0,0.251,0.542,159.021,audio_features,5HsTLsz8Yxwinhf9n5eXbF,spotify:track:5HsTLsz8Yxwinhf9n5eXbF,https://api.spotify.com/v1/tracks/5HsTLsz8Yxwinhf9n5eXbF,https://api.spotify.com/v1/audio-analysis/5HsTLsz8Yxwinhf9n5eXbF,257373,4,好きだって言えなくて,
0.431,0.915,3,-5.068,1,0.057,0.00383,0,0.402,0.78,164.89,audio_features,5jzlZ6rOQEbxXquID3QE6u,spotify:track:5jzlZ6rOQEbxXquID3QE6u,https://api.spotify.com/v1/tracks/5jzlZ6rOQEbxXquID3QE6u,https://api.spotify.com/v1/audio-analysis/5jzlZ6rOQEbxXquID3QE6u,216267,4,Spring fever,
0.68,0.65,11,-6.992,0,0.0284,0.0182,0,0.518,0.546,133.02,audio_features,1xfYfnQpwrGyBovfrVVHri,spotify:track:1xfYfnQpwrGyBovfrVVHri,https://api.spotify.com/v1/tracks/1xfYfnQpwrGyBovfrVVHri,https://api.spotify.com/v1/audio-analysis/1xfYfnQpwrGyBovfrVVHri,283133,4,Kiss away ~幻の森~,
0.579,0.757,1,-6.502,1,0.0317,0.0145,0.000428,0.295,0.713,168.012,audio_features,00j5qrqhH2aH1iJR8ZEvIB,spotify:track:00j5qrqhH2aH1iJR8ZEvIB,https://api.spotify.com/v1/tracks/00j5qrqhH2aH1iJR8ZEvIB,https://api.spotify.com/v1/audio-analysis/00j5qrqhH2aH1iJR8ZEvIB,267560,4,眠れぬ夜につかまえて,
0.672,0.759,6,-7.533,1,0.0306,0.0385,0,0.111,0.748,129.952,audio_features,0mWnI0mc2TYVt29l2Ig03U,spotify:track:0mWnI0mc2TYVt29l2Ig03U,https://api.spotify.com/v1/tracks/0mWnI0mc2TYVt29l2Ig03U,https://api.spotify.com/v1/audio-analysis/0mWnI0mc2TYVt29l2Ig03U,272400,4,プレゼント,
0.614,0.538,1,-7.688,0,0.0251,0.101,0,0.292,0.45,101.831,audio_features,3ityik4FG41cVZBtkACLlC,spotify:track:3ityik4FG41cVZBtkACLlC,https://api.spotify.com/v1/tracks/3ityik4FG41cVZBtkACLlC,https://api.spotify.com/v1/audio-analysis/3ityik4FG41cVZBtkACLlC,218773,4,上海夜曲,
0.163,0.647,6,-6.028,1,0.0412,0.0868,0,0.107,0.42,74.15,audio_features,6g7LUp5GBpaCOOUlmdtxHP,spotify:track:6g7LUp5GBpaCOOUlmdtxHP,https://api.spotify.com/v1/tracks/6g7LUp5GBpaCOOUlmdtxHP,https://api.spotify.com/v1/audio-analysis/6g7LUp5GBpaCOOUlmdtxHP,282920,4,微笑みのプルマージュ,
0.653,0.206,1,-15.677,1,0.0403,0.183,0.884,0.0591,0.281,119.978,audio_features,2AUrUz6W4OfxSLogp4wCJJ,spotify:track:2AUrUz6W4OfxSLogp4wCJJ,https://api.spotify.com/v1/tracks/2AUrUz6W4OfxSLogp4wCJJ,https://api.spotify.com/v1/audio-analysis/2AUrUz6W4OfxSLogp4wCJJ,111307,4,Finale~Sweet full moon~,
0.67,0.448,11,-10.483,1,0.0275,0.649,5.67e-05,0.112,0.532,123.869,audio_features,478CKqEP4lsMwWhRRA9Tux,spotify:track:478CKqEP4lsMwWhRRA9Tux,https://api.spotify.com/v1/tracks/478CKqEP4lsMwWhRRA9Tux,https://api.spotify.com/v1/audio-analysis/478CKqEP4lsMwWhRRA9Tux,282800,4,恋のチカラ,
0.588,0.455,9,-6.633,1,0.0249,0.608,0,0.287,0.335,88.021,audio_features,6t1ueWdR3F4QFQJ4qAu275,spotify:track:6t1ueWdR3F4QFQJ4qAu275,https://api.spotify.com/v1/tracks/6t1ueWdR3F4QFQJ4qAu275,https://api.spotify.com/v1/audio-analysis/6t1ueWdR3F4QFQJ4qAu275,342480,4,レゾンデートルの鍵,
0.489,0.973,0,-5.277,1,0.134,0.0931,0,0.843,0.675,173.051,audio_features,58M8dkhh0r7NftXpt8QtRP,spotify:track:58M8dkhh0r7NftXpt8QtRP,https://api.spotify.com/v1/tracks/58M8dkhh0r7NftXpt8QtRP,https://api.spotify.com/v1/audio-analysis/58M8dkhh0r7NftXpt8QtRP,247280,4,めろ~んのテーマ~ゆかり王国国歌~,
0.684,0.612,1,-9.075,0,0.0306,0.525,0.000163,0.131,0.755,118.977,audio_features,0Xm4BDzgjQJHVu9poL4LQs,spotify:track:0Xm4BDzgjQJHVu9poL4LQs,https://api.spotify.com/v1/tracks/0Xm4BDzgjQJHVu9poL4LQs,https://api.spotify.com/v1/audio-analysis/0Xm4BDzgjQJHVu9poL4LQs,300400,4,恋歌姫 - 蜜月夜バージョン,
0.738,0.957,6,-7.709,0,0.0347,0.0872,6.59e-05,0.289,0.967,123.003,audio_features,6Ka2dk63qqap3ljzQsaXnv,spotify:track:6Ka2dk63qqap3ljzQsaXnv,https://api.spotify.com/v1/tracks/6Ka2dk63qqap3ljzQsaXnv,https://api.spotify.com/v1/audio-analysis/6Ka2dk63qqap3ljzQsaXnv,287667,4,Shooting Star,
0.588,0.726,8,-8.704,1,0.0288,0.254,2.23e-06,0.0492,0.548,149.983,audio_features,4CZZXjvHjIy1hi3o14F2Bu,spotify:track:4CZZXjvHjIy1hi3o14F2Bu,https://api.spotify.com/v1/tracks/4CZZXjvHjIy1hi3o14F2Bu,https://api.spotify.com/v1/audio-analysis/4CZZXjvHjIy1hi3o14F2Bu,318667,4,POWDER RAINBOW,
0.639,0.894,4,-5.833,1,0.0333,0.0336,1.34e-05,0.389,0.692,91.999,audio_features,1FHLFzarqdyAujVsyqzAUa,spotify:track:1FHLFzarqdyAujVsyqzAUa,https://api.spotify.com/v1/tracks/1FHLFzarqdyAujVsyqzAUa,https://api.spotify.com/v1/audio-analysis/1FHLFzarqdyAujVsyqzAUa,251000,4,fancy baby doll,
0.577,0.821,1,-4.366,1,0.0317,0.014,0.000114,0.289,0.706,167.977,audio_features,61TlySWFTBEjaeOFWlZ5Ny,spotify:track:61TlySWFTBEjaeOFWlZ5Ny,https://api.spotify.com/v1/tracks/61TlySWFTBEjaeOFWlZ5Ny,https://api.spotify.com/v1/audio-analysis/61TlySWFTBEjaeOFWlZ5Ny,269093,4,眠れぬ夜につかまえて,
0.456,0.995,6,-2.709,1,0.379,0.00884,0,0.42,0.466,171.959,audio_features,0jSBfTVN3YKcevLdFQ4fmP,spotify:track:0jSBfTVN3YKcevLdFQ4fmP,https://api.spotify.com/v1/tracks/0jSBfTVN3YKcevLdFQ4fmP,https://api.spotify.com/v1/audio-analysis/0jSBfTVN3YKcevLdFQ4fmP,255707,4,Fantastic future,
0.327,0.94,4,-3.196,1,0.161,0.00383,3.63e-05,0.33,0.597,179.001,audio_features,55A3OfoAYPmX5Vs1vaEueH,spotify:track:55A3OfoAYPmX5Vs1vaEueH,https://api.spotify.com/v1/tracks/55A3OfoAYPmX5Vs1vaEueH,https://api.spotify.com/v1/audio-analysis/55A3OfoAYPmX5Vs1vaEueH,229027,4,Cherry Kiss,
0.488,0.64,4,-7.186,1,0.0247,0.0439,0.000546,0.265,0.521,80.076,audio_features,0ll81zQFYZWOzLj2IGq9se,spotify:track:0ll81zQFYZWOzLj2IGq9se,https://api.spotify.com/v1/tracks/0ll81zQFYZWOzLj2IGq9se,https://api.spotify.com/v1/audio-analysis/0ll81zQFYZWOzLj2IGq9se,321013,4,My wish My love,
0.554,0.769,11,-4.991,0,0.0348,0.303,2.52e-06,0.141,0.74,110.158,audio_features,3cix0H8XySJDu6U3tK07Ca,spotify:track:3cix0H8XySJDu6U3tK07Ca,https://api.spotify.com/v1/tracks/3cix0H8XySJDu6U3tK07Ca,https://api.spotify.com/v1/audio-analysis/3cix0H8XySJDu6U3tK07Ca,209707,4,恋のアゲハ,
0.347,0.174,4,-15.346,0,0.0435,0.978,0.0328,0.0914,0.141,134.896,audio_features,1yLpmixiCCOCCq69Dci3Po,spotify:track:1yLpmixiCCOCCq69Dci3Po,https://api.spotify.com/v1/tracks/1yLpmixiCCOCCq69Dci3Po,https://api.spotify.com/v1/audio-analysis/1yLpmixiCCOCCq69Dci3Po,73973,3,コハクノウタ *祈り*,
0.241,0.238,10,-12.348,0,0.0358,0.909,0.344,0.176,0.222,103.037,audio_features,4RvzGiiF3nU3vsSi2ozXhE,spotify:track:4RvzGiiF3nU3vsSi2ozXhE,https://api.spotify.com/v1/tracks/4RvzGiiF3nU3vsSi2ozXhE,https://api.spotify.com/v1/audio-analysis/4RvzGiiF3nU3vsSi2ozXhE,47733,4,interlude II 〜milky way〜,
0.479,0.939,1,-3.415,1,0.0466,7.86e-05,0.000204,0.155,0.84,182.006,audio_features,0RTrLOV0zwuowMQIVJAYoP,spotify:track:0RTrLOV0zwuowMQIVJAYoP,https://api.spotify.com/v1/tracks/0RTrLOV0zwuowMQIVJAYoP,https://api.spotify.com/v1/audio-analysis/0RTrLOV0zwuowMQIVJAYoP,187573,4,純愛レッスン,
0.648,0.871,7,-6.268,1,0.0297,0.00199,0,0.08,0.798,136.941,audio_features,6SslBgLCmo4AcYlI3CP5XZ,spotify:track:6SslBgLCmo4AcYlI3CP5XZ,https://api.spotify.com/v1/tracks/6SslBgLCmo4AcYlI3CP5XZ,https://api.spotify.com/v1/audio-analysis/6SslBgLCmo4AcYlI3CP5XZ,250867,4,Amazing Kiss,
0.431,0.421,6,-8.422,0,0.0351,0.786,0,0.313,0.425,111.13,audio_features,7HSxfqq8LMs7wR5S6uaBNo,spotify:track:7HSxfqq8LMs7wR5S6uaBNo,https://api.spotify.com/v1/tracks/7HSxfqq8LMs7wR5S6uaBNo,https://api.spotify.com/v1/audio-analysis/7HSxfqq8LMs7wR5S6uaBNo,40667,4,interlude I 〜day's eye〜,
0.714,0.472,0,-11.74,1,0.14,0.0806,0.00759,0.319,0.354,170.001,audio_features,1K2fZnqmLAmSGfhfdiEdjJ,spotify:track:1K2fZnqmLAmSGfhfdiEdjJ,https://api.spotify.com/v1/tracks/1K2fZnqmLAmSGfhfdiEdjJ,https://api.spotify.com/v1/audio-analysis/1K2fZnqmLAmSGfhfdiEdjJ,221027,4,青空にあいたい,
0.55,0.921,8,-3.704,1,0.056,0.0259,0.058,0.306,0.885,172.099,audio_features,3SofPuoSoEyS4GGVVj912J,spotify:track:3SofPuoSoEyS4GGVVj912J,https://api.spotify.com/v1/tracks/3SofPuoSoEyS4GGVVj912J,https://api.spotify.com/v1/audio-analysis/3SofPuoSoEyS4GGVVj912J,242187,4,ラブラブベイビーハッピースター,
0.7,0.309,5,-9.271,1,0.031,0.841,2.68e-06,0.221,0.399,119.863,audio_features,1NwXszfKOQWrqxPaHmbgKU,spotify:track:1NwXszfKOQWrqxPaHmbgKU,https://api.spotify.com/v1/tracks/1NwXszfKOQWrqxPaHmbgKU,https://api.spotify.com/v1/audio-analysis/1NwXszfKOQWrqxPaHmbgKU,306867,4,上弦の月,
0.612,0.447,6,-7.832,1,0.0244,0.669,0.00014,0.0829,0.317,79.954,audio_features,53yGc9gGgef96mdNIwdQrN,spotify:track:53yGc9gGgef96mdNIwdQrN,https://api.spotify.com/v1/tracks/53yGc9gGgef96mdNIwdQrN,https://api.spotify.com/v1/audio-analysis/53yGc9gGgef96mdNIwdQrN,338693,4,心の扉,
