title|acoste_rate|acoste_count|ancore_rate|ancore_count|release_date|cd
Baby's Breath|--|--|--|--|--|--
Graditude|--|--|--|--|--|--
Little Wish|--|--|--|--|--|--
君をつれて|0.25|2.0|--|--|2005/05/25|恋せよ女の子
La La Love Call|--|--|--|--|--|--
Melody|--|--|--|--|2007/05/09|星空のSpica
チェルシーガール|--|--|0.0588235294117647|3.0|2008/02/27|十六夜の月、カナリアの恋。
W:Wonder tale|--|--|0.2916666666666667|14.0|2013/02/06|W:Wonder tale
Exactly|0.1818181818181818|6.0|--|--|2021/04/28|あいことば。
未来パラソル|--|--|0.5|1.0|2005/11/10|極上生徒会ベストアルバム
Tremolo Mellow|--|--|--|--|2021/04/28|あいことば。
ケセラセラ|0.1818181818181818|6.0|0.2424242424242424|8.0|2021/04/28|あいことば。
雨のパンセ|0.2727272727272727|6.0|--|--|2015/04/01|好きだって言えなくて
デイジー・ブルー|--|--|--|--|2006/04/19|銀の旋律、記憶の水音。
ブルジェオンの薔薇|--|--|--|--|--|--
Hello Again|--|--|0.1111111111111111|1.0|2017/11/15|Princess♡Limited
Honey Moon|--|--|0.024390243902439|1.0|2003/11/06|蒼空に揺れる蜜月の小舟。
プレゼント|0.0833333333333333|1.0|0.4166666666666667|5.0|2006/12/20|Princess Rose
永遠のひとつ|--|--|--|--|2018/08/15|永遠のひとつ
Cherry Kiss|0.2258064516129032|7.0|--|--|2009/02/04|木漏れ日の花冠
恋のタイムマシン|--|--|--|--|2008/12/01|Tomorrow
Super Special Smiling Shy Girl|--|--|--|--|--|--
fancy baby doll|0.2049180327868852|25.0|0.1721311475409836|21.0|2006/04/19|銀の旋律、記憶の水音。
Fanfare|--|--|--|--|--|--
うらはら兎のねがいこと|--|--|--|--|--|--
My wish My love|--|--|0.625|10.0|2010/01/27|My wish My love
candy smile|--|--|0.282051282051282|11.0|2005/05/25|恋せよ女の子
上弦の月|0.6923076923076923|9.0|--|--|2008/02/27|十六夜の月、カナリアの恋。
嘘|1.0|25.0|--|--|2020/06/24|Candy tuft
Fortune of Love|--|--|0.1481481481481481|4.0|2002/09/25|花降り月夜と恋曜日。
Umbrella Sign|--|--|--|--|2021/04/28|あいことば。
それは奇跡なんかじゃない|--|--|1.0|25.0|2021/04/28|あいことば。
ガラスの靴にMoonglow|--|--|--|--|2017/11/15|Princess♡Limited
Princess Rose|--|--|--|--|2006/12/20|Princess Rose
ひとりあやとり|0.5|12.0|--|--|2013/11/20|螺旋の果実
未来の果てにEscort|0.3|6.0|--|--|2019/05/22|Strawberry candle
ゆかりはゆかり♥|--|--|--|--|--|--
チクチク|--|--|--|--|2019/02/26|Trouble Emotion
涙のち晴れマーク|--|--|--|--|2020/06/24|Candy tuft
童話迷宮|--|--|0.3636363636363636|12.0|2006/08/02|童話迷宮
好きだって言えなくて|--|--|0.3428571428571428|12.0|2015/04/01|好きだって言えなくて
Tiny Rainbow|--|--|0.2352941176470588|4.0|2010/01/27|My wish My love
くちびるプラトニック|--|--|--|--|--|--
忘れな月|--|--|--|--|--|--
惑星のランデブー|--|--|0.04|2.0|2005/03/02|琥珀の詩、ひとひら
Sweetest Love|--|--|--|--|2003/03/05|True Romance
Cursed Lily|--|--|--|--|2006/04/19|銀の旋律、記憶の水音。
宵待ちの花|0.1111111111111111|1.0|--|--|2006/04/19|銀の旋律、記憶の水音。
さよならを おしえて|--|--|--|--|--|--
横顔|--|--|--|--|2018/02/21|恋は天使のチャイムから
恋の天使はチャイムから|--|--|--|--|--|--
mon chéri|--|--|--|--|--|--
Moonhole|--|--|--|--|--|--
LOVE ME NOW!|--|--|--|--|--|--
You & Me|--|--|0.3653846153846153|19.0|2009/02/16|You&Me
I DO 愛|--|--|--|--|2014/02/05|秘密の扉から会いにきて
花チル夜道|--|--|--|--|2019/05/22|Strawberry candle
バンビーノ・バンビーナ|--|--|0.0869565217391304|2.0|2008/08/27|バンビーノ・バンビーナ
恋せよ女の子|--|--|0.2142857142857142|6.0|2005/05/25|恋せよ女の子
不可触な愛|0.1|1.0|--|--|2003/11/06|蒼空に揺れる蜜月の小舟。
Fantastic Future|--|--|--|--|--|--
眠れぬ夜につかまえて|--|--|--|--|2003/09/03|眠れぬ夜につかまえて
あのね Love me Do|0.217391304347826|5.0|0.8260869565217391|19.0|2014/12/24|あのね Love me Do
レゾンデートルの鍵|0.5|1.0|0.5|1.0|2010/09/08|シトロンの雨
QT Two-Face|--|--|--|--|--|--
心の扉|--|--|0.3333333333333333|1.0|2005/03/02|琥珀の詩、ひとひら
Everlasting Voice|--|--|--|--|--|--
ほんのり桜色|--|--|--|--|2011/12/21|春待ちソレイユ
Endless Story|--|--|0.32|8.0|2011/10/12|Endless Story
星屑スパイラル|--|--|0.1|1.0|2009/02/16|You&Me
空の向こう側に|--|--|--|--|2004/05/26|夢見月のアリス
miss you|0.3333333333333333|1.0|--|--|2006/08/02|童話迷宮
花火|--|--|--|--|2021/04/28|あいことば。
Spring fever|--|--|--|--|2005/03/02|琥珀の詩、ひとひら
エキセントリック・ラヴァー|--|--|--|--|2014/12/24|あのね Love me Do
100 CARAT HEART|--|--|--|--|2008/08/27|バンビーノ・バンビーナ
you|0.4444444444444444|12.0|0.037037037037037|1.0|2014/12/24|あのね Love me Do
あなただけに〜it's only my Love〜|--|--|--|--|--|--
ちょっとだけワルイコ|--|--|--|--|2021/04/28|あいことば。
つぼみのままで|0.6666666666666666|2.0|--|--|2002/09/25|花降り月夜と恋曜日。
アンドロメダまで1hour|--|--|0.3571428571428571|10.0|2012/08/15|微笑みのプルマージュ
Snow Bird|--|--|--|--|--|--
天使のお仕事|--|--|--|--|2006/08/02|童話迷宮
恋のチカラ|1.0|3.0|--|--|2006/12/20|Princess Rose
逢うたびキミを好きになる|--|--|0.125|2.0|2019/05/22|Strawberry candle
Spiritual Garden|0.3636363636363636|4.0|0.0909090909090909|1.0|2005/10/26|Spiritual Garden
ぜんぶきみのせい。|--|--|--|--|--|--
Butterfly*kiss|--|--|--|--|2005/06/22|極上生徒会 キャラクターシングル Vol.1
Shining Rabbit|--|--|--|--|2019/02/26|Shining Rabbit
Pink Pygmalion|--|--|--|--|2021/04/28|あいことば。
Never Let You Go|1.0|6.0|--|--|2021/04/28|あいことば。
Moonlight Secret|--|--|--|--|--|--
YOURS EVER|0.4|2.0|0.2|1.0|2007/03/28|Sincerely Dears…
神聖炉|--|--|--|--|2010/09/08|シトロンの雨
神様 Rescue me !!|--|--|--|--|--|--
Lost Sequence|--|--|--|--|2017/11/15|Princess♡Limited
真新しいカレンダー|--|--|--|--|2011/12/21|春待ちソレイユ
お散歩しようよ|--|--|--|--|2003/09/03|眠れぬ夜につかまえて
I.N.G.|--|--|--|--|2013/02/06|W:Wonder tale
星空のSpica|--|--|0.2666666666666666|4.0|2007/05/09|星空のSpica
大好きと涙|--|--|0.1|1.0|2003/11/06|蒼空に揺れる蜜月の小舟。
Closing tears|--|--|--|--|2018/08/15|永遠のひとつ
Eternity|--|--|0.6666666666666666|2.0|2002/09/25|花降り月夜と恋曜日。
滑空の果てのイノセント|--|--|--|--|2011/12/21|春待ちソレイユ
恋のアゲハ|0.0416666666666666|1.0|--|--|2009/02/04|木漏れ日の花冠
Next landscape|--|--|--|--|--|--
新月のpollen|--|--|--|--|--|--
ひとひらの恋|0.5263157894736842|10.0|--|--|2009/02/04|木漏れ日の花冠
まだ好きでいさせて|0.7777777777777778|7.0|--|--|2014/12/24|あのね Love me Do
聴こえないように♥|--|--|--|--|--|--
わすれもの|--|--|--|--|--|--
私だけMissing|--|--|--|--|2021/04/28|あいことば。
秘密の扉から会いにきて|--|--|--|--|2014/02/05|秘密の扉から会いにきて
LUNATICA MARE|--|--|--|--|2013/11/20|螺旋の果実
楽園巡礼|--|--|--|--|--|--
ジェラシーのその後で|--|--|0.875|14.0|2018/08/15|永遠のひとつ
砂落ちる水の宮殿|0.2|6.0|--|--|2010/09/08|シトロンの雨
おしえて AtoZ|--|--|--|--|--|--
Heavenly Stars|--|--|--|--|2010/09/08|シトロンの雨
パピィ・ラブ|--|--|--|--|--|--
Lovely Magic|--|--|0.1666666666666666|1.0|2003/05/21|Lovely Magic
星降る夢で逢いましょう|0.65|13.0|--|--|2009/02/04|木漏れ日の花冠
floral blue|--|--|--|--|2011/01/26|プラチナLover’s Day
Only Oneのあなたのせいよ|--|--|--|--|--|--
Sweet Darlin'|0.1666666666666666|2.0|--|--|--|--
Sunny Spot|--|--|--|--|--|--
My life is great|--|--|--|--|2003/03/05|True Romance
Under Lover|--|--|--|--|2020/06/24|Candy tuft
if|--|--|--|--|2011/12/21|春待ちソレイユ
Catch me Cats me|--|--|--|--|2020/06/24|Candy tuft
Bad eclipse|--|--|--|--|2020/06/24|Candy tuft
Masquerade Kiss|--|--|--|--|--|--
キャラメル|--|--|--|--|2021/04/28|あいことば。
Trouble Emotion|--|--|--|--|2019/02/26|Trouble Emotion
微笑みのプルマージュ|--|--|--|--|2012/08/15|微笑みのプルマージュ
Don't wake me & Up|--|--|--|--|--|--
ENDLESS MEMORIES|--|--|--|--|2018/10/07|SECRET EYES
わがままな I LOVE YOU|--|--|--|--|2002/08/07|Baby’s Breath
シュガー・チューン|--|--|--|--|--|--
SECRET EYES|--|--|--|--|2018/10/07|SECRET EYES
Sympathy of Love|--|--|--|--|2011/12/21|春待ちソレイユ
アイ マイ ボーダー|--|--|--|--|--|--
月華|0.5714285714285714|4.0|--|--|2003/11/06|蒼空に揺れる蜜月の小舟。
エアシューター|0.3529411764705882|6.0|--|--|2006/04/19|銀の旋律、記憶の水音。
Trust me|--|--|--|--|--|--
セルフィッシュ|--|--|--|--|2019/05/22|Strawberry candle
チアガール in my heart|--|--|0.4210526315789473|8.0|2011/12/21|春待ちソレイユ
Fallin' into you|--|--|--|--|--|--
Rainy Rainy Sunday|--|--|--|--|2011/10/12|Endless Story
片想いルーレット|--|--|--|--|2008/02/27|十六夜の月、カナリアの恋。
Traveling with a sheep|--|--|--|--|2005/10/26|Spiritual Garden
Double Fascination|--|--|--|--|2018/02/21|恋は天使のチャイムから
Non-Stopping Train|--|--|--|--|2008/02/27|十六夜の月、カナリアの恋。
ひと夏の秘密|0.6153846153846154|8.0|--|--|2015/08/26|ひと夏の秘密
14秒後にKISSして♥|--|--|--|--|--|--
Super Special Day|--|--|--|--|2001/04/04|ときめきメモリアル2 Blooming Stories 6 伊集院メイ
AMBER~人魚の淚~|--|--|--|--|--|--
もうちょっとFall in Love|--|--|0.1052631578947368|2.0|2013/04/17|Fantastic future
涙のループ|0.6666666666666666|8.0|--|--|2010/04/28|おしえて A to Z
Happy Life|--|--|--|--|2008/02/27|十六夜の月、カナリアの恋。
嘆きの丘|--|--|--|--|2009/02/04|木漏れ日の花冠
MERRY MERRY MERRY MENU • • • ね !|--|--|--|--|--|--
Sensitive Venus|0.6842105263157895|13.0|--|--|2007/05/09|星空のSpica
囀りのない部屋|--|--|--|--|2017/11/15|Princess♡Limited
咲かせて乙女|0.3529411764705882|6.0|--|--|2012/08/15|微笑みのプルマージュ
Sweet Trap|--|--|--|--|2018/02/21|恋は天使のチャイムから
ラブリィレクチャー|--|--|--|--|--|--
Amazing Kiss|--|--|--|--|2006/04/19|銀の旋律、記憶の水音。
レリーフのひとかけら|0.9230769230769232|12.0|--|--|2014/02/05|秘密の扉から会いにきて
Le paradis|--|--|--|--|2017/11/15|Princess♡Limited
Cutie Cutie|--|--|--|--|2005/10/26|Spiritual Garden
SUKI KIRAI|--|--|--|--|2018/08/15|永遠のひとつ
"片方だけのイヤリング|3"|--|--|--|--|--|--
Angel Pride|--|--|--|--|2003/03/05|True Romance
夢見月のアリス|0.4615384615384615|6.0|--|--|2004/05/26|夢見月のアリス
楽園|--|--|--|--|--|--
Darling Darling|--|--|0.6410256410256411|25.0|2019/05/22|Strawberry candle
PINK AQUARIUM|0.2941176470588235|5.0|--|--|2013/11/20|螺旋の果実
きっと言える|--|--|--|--|--|--
薔薇のロマンセ 月のセレーネ|--|--|--|--|2005/03/02|琥珀の詩、ひとひら
最果ての森|--|--|0.2|1.0|2005/03/02|琥珀の詩、ひとひら
Pandora & Chimera|--|--|--|--|--|--
恋は波のように|0.6666666666666666|2.0|--|--|2008/02/27|十六夜の月、カナリアの恋。
Petite lumiere|--|--|--|--|2008/02/27|十六夜の月、カナリアの恋。
Bejewel Escape|--|--|--|--|--|--
Picnic|--|--|0.3125|5.0|2005/03/02|琥珀の詩、ひとひら
アンジュ・パッセ|0.2608695652173913|6.0|--|--|2009/02/04|木漏れ日の花冠
裸足のプリンセス|--|--|--|--|2010/04/28|おしえて A to Z
恋と夢と空時計|0.3076923076923077|8.0|0.6923076923076923|18.0|2013/11/20|螺旋の果実
シレーヌの心音|--|--|--|--|2019/05/23|Strawberry candle
+メタウサ姫〜黒ゆかり王国ミサ〜+|--|--|--|--|--|--
好き...でもリベンジ|0.1|1.0|--|--|2011/12/21|春待ちソレイユ
恋歌姫|0.3333333333333333|1.0|--|--|2003/05/21|Lovely Magic
指切りしよう|--|--|--|--|--|--
Sugar Time Trip|--|--|--|--|2004/05/26|夢見月のアリス
HITOME VOLTAGE|--|--|--|--|2018/10/06|HITOME VOLTAGE
月の魔法で恋したい|--|--|--|--|--|--
Trable Emotion|--|--|--|--|--|--
Love parade|--|--|0.6666666666666666|10.0|2002/04/24|Love parade
ねぇ恋しちゃったかな|0.5294117647058824|9.0|--|--|2011/12/21|春待ちソレイユ
WE CAN FLY|--|--|--|--|--|--
エトランゼ|--|--|--|--|2009/02/04|木漏れ日の花冠
キャンディスターにお願い|--|--|--|--|2013/11/20|螺旋の果実
君へ|--|--|--|--|2003/09/03|眠れぬ夜につかまえて
輝きの季節|--|--|--|--|--|--
Miss you|--|--|--|--|--|--
les larmes de la lune|--|--|--|--|2002/09/25|花降り月夜と恋曜日。
トラウマの耳たぶ|--|--|--|--|2011/12/21|春待ちソレイユ
ナルシスが嘘をつく|0.3333333333333333|6.0|--|--|2013/11/20|螺旋の果実
こっちを向いて|0.3333333333333333|2.0|--|--|2002/08/27|Baby’s Breath
Tomorrow|--|--|--|--|2008/12/01|Tomorrow
プラチナLover's Day|--|--|--|--|--|--
お気に召すまま|0.1428571428571428|1.0|--|--|2008/02/27|十六夜の月、カナリアの恋。
Jealous|--|--|--|--|2015/08/26|ひと夏の秘密
優しい夜に。|0.1666666666666666|1.0|0.8333333333333334|5.0|2006/04/19|銀の旋律、記憶の水音。
アジュールの実|--|--|--|--|2013/11/20|螺旋の果実
月のメロディー|--|--|--|--|2006/04/19|銀の旋律、記憶の水音。
流れ星ジェニー|--|--|--|--|2011/04/15|めろ〜ん音頭〜Festival of Kingdom〜
BITTER SWEET HOLIDAY|1.0|6.0|--|--|2020/06/24|Candy tuft
春色の風、今も...。|--|--|--|--|--|--
追い風|--|--|--|--|2002/04/24|Love♡parade
瞳の旅人|--|--|--|--|--|--
DAYDREAM|--|--|--|--|--|--
満月のセンシビリティー|--|--|--|--|2010/01/27|My wish My love
Shooting Star|--|--|--|--|2009/02/04|木漏れ日の花冠
パーティーは終わらない|--|--|0.0416666666666666|1.0|2012/10/17|Everlasting Gift
Doki Doki ☆ π パイン|--|--|0.2727272727272727|3.0|2014/08/26|Doki Doki ☆ π パイン
Love Sick|--|--|--|--|2010/09/08|シトロンの雨
シンデレラ・グラフィティ|--|--|--|--|--|--
コードレス★照れ★PHONE|--|--|--|--|--|--
Love❤️parade|--|--|--|--|--|--
Luminous Party|--|--|--|--|2009/02/04|木漏れ日の花冠
ゆかり王国国歌|--|--|--|--|--|--
Luv Fanatic|0.3|6.0|--|--|2015/04/01|好きだって言えなくて
めろ～ん音頭|--|--|--|--|--|--
まぶしさ|--|--|--|--|--|--
うたかた|0.875|7.0|--|--|2002/09/25|花降り月夜と恋曜日。
POWDER RAINBOW|--|--|--|--|--|--
Pink aquarium|--|--|--|--|--|--
Pleasure treasure|--|--|--|--|2015/04/01|好きだって言えなくて
Primary tale|--|--|--|--|--|--
Sand Mark|--|--|--|--|2008/02/27|十六夜の月、カナリアの恋。
Sewing My MODE|--|--|--|--|2015/04/22|ガールフレンド(仮) Vol.4
スマイルスマイル|--|--|--|--|--|--
Love Countdown|--|--|--|--|--|--
Don't stop Movin' on!|--|--|--|--|--|--
Libido zone|--|--|--|--|2019/05/22|Strawberry candle
恋するラズベリー|--|--|0.0714285714285714|1.0|2007/08/01|Beautiful Amulet
Ever-Never-Land|--|--|--|--|2005/03/02|琥珀の詩、ひとひら
幽玄サクリファイス|--|--|--|--|2018/10/06|HITOME VOLTAGE
幸せになるといいな|--|--|--|--|--|--
Fantasia|--|--|--|--|--|--
女神転生|--|--|--|--|--|--
太陽のイヴ|--|--|--|--|2011/10/12|Endless Story
Hallo Again|--|--|--|--|--|--
天使じゃなくても|--|--|--|--|--|--
君のポケットの中|--|--|--|--|--|--
傷つく宝石|--|--|--|--|2013/04/17|Fantastic future
Kissaway～幻の森~|--|--|--|--|--|--
ラブサイン|--|--|--|--|2010/01/27|My wish My love
ブラックダリア|--|--|--|--|--|--
フルーツ|0.8181818181818182|9.0|--|--|2003/11/06|蒼空に揺れる蜜月の小舟。
青空にあいたい|--|--|--|--|--|--
